Description,Price,Rating,Reviews,URL
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹609,3.9 out of 5 stars,996,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0227599DCXA0H8EF82F&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB09T2TCSW7%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031752%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26psc%3D1&qualifier=1664031752&id=3384843628573660&widgetName=sp_mtf
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)","₹1,400",4.2 out of 5 stars,23,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03407974AVXR9G9ECEQ&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031752%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26psc%3D1&qualifier=1664031752&id=3384843628573660&widgetName=sp_mtf
F Gear Luxur Brown 25 liter Laptop Backpack (2404),₹899,4.4 out of 5 stars,"15,511",http://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-13
DEIN KLEIDER Men's Nylon Messenger Bag,₹276,4.0 out of 5 stars,"3,549",http://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-14
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,₹739,4.0 out of 5 stars,"12,007",http://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-15
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",₹539,4.0 out of 5 stars,"7,060",http://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-16
Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,₹789,4.2 out of 5 stars,"47,310",http://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-17
Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue),"₹1,249",4.3 out of 5 stars,255,http://www.amazon.in/Wildcraft-Music-Backpack-Blue-11954/dp/B07N2PDVX4/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-18
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹709,4.3 out of 5 stars,"4,088",http://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-19
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,₹932,4.4 out of 5 stars,"1,279",http://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1664031752&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-20
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹619,3.9 out of 5 stars,"12,939",http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02215913OJ9ABXWGR091&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031752%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26smid%3DA1UVZJ9N7FK5G6%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26psc%3D1&qualifier=1664031752&id=3384843628573660&widgetName=sp_btf
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)","₹1,400",4.3 out of 5 stars,47,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0340953PR9KD95VMC6U&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031752%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26psc%3D1&qualifier=1664031752&id=3384843628573660&widgetName=sp_btf
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)","₹1,400",4.2 out of 5 stars,23,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03407974AVXR9G9ECEQ&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_atf_next
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)","₹1,400",4.3 out of 5 stars,47,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0340953PR9KD95VMC6U&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_atf_next
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹759,3.9 out of 5 stars,"1,056",http://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-19
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L,₹601,3.2 out of 5 stars,6,http://www.amazon.in/Northzone-Lightweight-Backpacks-Stylish-College/dp/B0BCYX6DW2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-20
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,₹629,4.1 out of 5 stars,"2,805",http://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-21
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹449,3.9 out of 5 stars,"9,174",http://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-22
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),₹249,4.0 out of 5 stars,"10,459",http://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-23
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹609,4.0 out of 5 stars,"1,199",http://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-24
"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)",₹999,3.8 out of 5 stars,794,http://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-25
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹1,599",4.5 out of 5 stars,"4,770",http://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-26
"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,550",4.0 out of 5 stars,28,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A02441351NCVVAT6YWI80&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_mtf
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹609,3.9 out of 5 stars,996,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0227599DCXA0H8EF82F&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB09T2TCSW7%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_mtf
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags, Blue Light Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹799,4.0 out of 5 stars,852,http://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-29
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",₹998,4.1 out of 5 stars,"5,569",http://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-30
Martucci Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip,₹769,4.5 out of 5 stars,102,http://www.amazon.in/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-31
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),₹699,3.8 out of 5 stars,"1,244",http://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-32
Genie Flamenco2 Casual Backpacks for Women,₹499,4.4 out of 5 stars,"1,024",http://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-33
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,₹893,4.4 out of 5 stars,"1,455",http://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-34
Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,₹639,4.0 out of 5 stars,"1,575",http://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08679WRLW/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-35
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",₹519,4.0 out of 5 stars,"5,386",http://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1664031764&qu=eyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%3D%3D&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-36
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹619,3.9 out of 5 stars,"12,939",http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A02215913OJ9ABXWGR091&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26smid%3DA1UVZJ9N7FK5G6%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_btf
Lenovo Slim Everyday Backpack,₹599,4.4 out of 5 stars,"1,968",http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A06848801Z259JLZMRVSE&url=%2FLenovo-15-6-Inches-Everyday-Backpack%2Fdp%2FB08R7RPVJF%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031764%26qu%3DeyJxc2MiOiI3Ljk4IiwicXNhIjoiNy45MCIsInFzcCI6IjYuNTAifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26psc%3D1&qualifier=1664031764&id=2758072556804630&widgetName=sp_btf
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)","₹1,400",4.2 out of 5 stars,23,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03407974AVXR9G9ECEQ&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031778%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26psc%3D1&qualifier=1664031778&id=6072621873806804&widgetName=sp_atf_next
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)","₹1,400",4.3 out of 5 stars,47,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0340953PR9KD95VMC6U&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1664031778%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26psc%3D1&qualifier=1664031778&id=6072621873806804&widgetName=sp_atf_next
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,4.0 out of 5 stars,560,http://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1664031778&sprefix=ba%2Caps%2C283&sr=8-35
